company,domain,country,notes,itewiki
Sysart,sysart.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/sysart
Rakettitiede,rakettitiede.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/rakettitiede
Haltu,haltu.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/haltu
Codemate,codemate.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/codemate
Anders Innovations,anders.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/anders-innovations
Sofokus,sofokus.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/sofokus
Taito United,taitounited.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/taito-united
Montel Intergalactic,montel.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/montel-intergalactic
Wunderdog,wunderdog.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/wunderdog
Osaango,osaango.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/osaango
Maxtech,maxtech.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/maxtech
E21 Solutions,e21.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/e21-solutions
Adafy,adafy.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/adafy
Remion,remion.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/remion
Valu Digital,valu.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/valu-digital
Softability Oy,softability.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/softability-oy
Fingertip,fingertip.org,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/fingertip
Viskan,viskan.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/viskan
Optiscan,optiscangroup.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/optiscan
Espeo Software,espeo.eu,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/espeo-software
Fraktio,fraktio.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/fraktio
Gelo,gelo.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/gelo
Ceon,ceon.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/ceon
Vertics,vertics.co,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/vertics
Klopal,klopal.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/klopal
Masinotek,masinotek.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/masinotek
Gapps,gappsgroup.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/gapps
Riimu Solutions,riimusolutions.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/riimu-solutions
Sofia Digital,sofiadigital.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/sofia-digital
Inoi,inoi.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/inoi
Softlandia,softlandia.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/softlandia
Systencess,systencess.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/systencess
Apps,apps-oy.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/apps
Netcorp,netcorp.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/netcorp
Software Sauna,softwaresauna.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/software-sauna
Bearit,bearit.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/bearit
Lifetime,lifetime.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/lifetime
Codeo,codeo.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/codeo
Prosys PMS,prosys.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/prosys-pms
Konsepto,konsepto.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/konsepto
Superapp,superapp.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/superapp
Buildercom,buildercom.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/buildercom
Zure,zure.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/zure
